100 50
1 1 B
1 2 N
1 3 N
1 4 H
1 5 N
1 6 N
1 7 T
1 8 N
1 9 N
1 10 N
1 11 H
1 12 N
1 13 N
1 14 N
1 15 N
1 16 H
1 17 H
1 18 B
1 19 H
1 20 N
1 21 T
1 22 H
1 23 N
1 24 H
1 25 H
1 26 T
1 27 H
1 28 N
1 29 T
1 30 N
1 31 N
1 32 N
1 33 N
1 34 N
1 35 N
1 36 N
1 37 B
1 38 N
1 39 N
1 40 N
1 41 H
1 42 N
1 43 N
1 44 N
1 45 N
1 46 T
1 47 T
1 48 N
1 49 N
1 50 N
2 1 B
2 2 H
2 3 N
2 4 N
2 5 H
2 6 N
2 7 T
2 8 N
2 9 H
2 10 N
2 11 T
2 12 T
2 13 H
2 14 N
2 15 N
2 16 B
2 17 N
2 18 N
2 19 N
2 20 N
2 21 N
2 22 T
2 23 H
2 24 T
2 25 N
2 26 B
2 27 N
2 28 T
2 29 N
2 30 T
2 31 T
2 32 T
2 33 H
2 34 H
2 35 N
2 36 T
2 37 T
2 38 N
2 39 N
2 40 N
2 41 N
2 42 N
2 43 T
2 44 B
2 45 N
2 46 N
2 47 H
2 48 N
2 49 T
2 50 T
3 1 N
3 2 N
3 3 H
3 4 N
3 5 N
3 6 N
3 7 T
3 8 B
3 9 H
3 10 H
3 11 B
3 12 T
3 13 N
3 14 N
3 15 H
3 16 T
3 17 B
3 18 N
3 19 N
3 20 N
3 21 N
3 22 N
3 23 N
3 24 N
3 25 N
3 26 H
3 27 H
3 28 N
3 29 T
3 30 N
3 31 B
3 32 N
3 33 N
3 34 N
3 35 H
3 36 N
3 37 N
3 38 B
3 39 T
3 40 H
3 41 H
3 42 N
3 43 H
3 44 T
3 45 N
3 46 H
3 47 N
3 48 T
3 49 N
3 50 N
4 1 H
4 2 T
4 3 T
4 4 T
4 5 N
4 6 H
4 7 T
4 8 N
4 9 T
4 10 N
4 11 N
4 12 H
4 13 N
4 14 T
4 15 H
4 16 T
4 17 H
4 18 N
4 19 N
4 20 N
4 21 N
4 22 N
4 23 H
4 24 N
4 25 B
4 26 N
4 27 T
4 28 N
4 29 N
4 30 N
4 31 H
4 32 H
4 33 N
4 34 N
4 35 N
4 36 T
4 37 N
4 38 B
4 39 N
4 40 N
4 41 N
4 42 H
4 43 T
4 44 N
4 45 H
4 46 H
4 47 N
4 48 H
4 49 N
4 50 N
5 1 N
5 2 H
5 3 T
5 4 N
5 5 H
5 6 N
5 7 T
5 8 T
5 9 H
5 10 H
5 11 N
5 12 N
5 13 N
5 14 H
5 15 T
5 16 N
5 17 T
5 18 N
5 19 N
5 20 N
5 21 N
5 22 N
5 23 B
5 24 T
5 25 B
5 26 N
5 27 H
5 28 H
5 29 N
5 30 T
5 31 N
