100 50
1 1 N
1 2 N
1 3 B
1 4 T
1 5 T
1 6 T
1 7 H
1 8 H
1 9 H
1 10 N
1 11 N
1 12 N
1 13 H
1 14 T
1 15 T
1 16 N
1 17 N
1 18 B
1 19 N
1 20 N
1 21 H
1 22 N
1 23 T
1 24 N
1 25 N
1 26 T
1 27 B
1 28 N
1 29 N
1 30 T
1 31 B
1 32 T
1 33 T
1 34 N
1 35 N
1 36 N
1 37 N
1 38 H
1 39 H
1 40 T
1 41 T
1 42 N
1 43 H
1 44 N
1 45 H
1 46 H
1 47 N
1 48 H
1 49 N
1 50 T
2 1 T
2 2 N
2 3 N
2 4 T
2 5 N
2 6 B
2 7 T
2 8 H
2 9 B
2 10 H
2 11 N
2 12 N
2 13 N
2 14 T
2 15 H
2 16 N
2 17 H
2 18 N
2 19 H
2 20 N
2 21 N
2 22 B
2 23 N
2 24 N
2 25 H
2 26 B
2 27 N
2 28 B
2 29 N
2 30 T
2 31 B
2 32 H
2 33 N
2 34 T
2 35 T
2 36 H
2 37 N
2 38 N
2 39 T
2 40 B
2 41 N
2 42 N
2 43 N
2 44 N
2 45 N
2 46 N
2 47 H
2 48 B
2 49 N
2 50 N
3 1 N
3 2 N
3 3 H
3 4 N
3 5 N
3 6 B
3 7 N
3 8 N
3 9 N
3 10 N
3 11 H
3 12 N
3 13 N
3 14 N
3 15 N
3 16 H
3 17 T
3 18 H
3 19 T
3 20 H
3 21 T
3 22 T
3 23 T
3 24 N
3 25 N
3 26 N
3 27 N
3 28 N
3 29 T
3 30 T
3 31 B
3 32 B
3 33 N
3 34 N
3 35 N
3 36 H
3 37 N
3 38 T
3 39 H
3 40 N
3 41 T
3 42 B
3 43 N
3 44 N
3 45 N
3 46 T
3 47 H
3 48 T
3 49 N
3 50 N
4 1 N
4 2 N
4 3 H
4 4 N
4 5 T
4 6 N
4 7 N
4 8 N
4 9 H
4 10 N
4 11 T
4 12 T
4 13 H
4 14 N
4 15 H
4 16 N
4 17 H
4 18 H
4 19 B
4 20 B
4 21 B
4 22 H
4 23 N
4 24 N
4 25 H
4 26 N
4 27 N
4 28 B
4 29 H
4 30 H
4 31 B
4 32 H
4 33 N
4 34 H
4 35 T
4 36 B
4 37 H
4 38 H
4 39 N
4 40 N
4 41 N
4 42 B
4 43 H
4 44 N
4 45 N
4 46 N
4 47 N
4 48 T
4 49 H
4 50 T
5 1 T
5 2 T
5 3 N
5 4 N
5 5 B
5 6 T
5 7 H
5 8 N
5 9 T
5 10 T
5 11 H
5 12 N
5 13 N
5 14 H
5 15 N
5 16 B
5 17 N
5 18 H
5 19 N
5 20 T
5 21 N
5 22 B
5 23 N
5 24 T
5 25 N
5 26 N
5 27 N
5 28 T
5 29 H
5 30 B
5 31 N
5 32 N
5 33 T
5 34 N
5 35 T
5 36 N
5 37 N
5 38 T
5 39 B
5 40 T
5 41 N
5 42 N
5 43 T
5 44 H
5 45 B
5 46 H
5 47 N
5 48 N
5 49 T
5 50 N
6 1 T
6 2 N
6 3 H
6 4 H
6 5 B
6 6 N
6 7 N
6 8 H
6 9 N
6 10 H
6 11 N
6 12 B
6 13 N
6 14 N
6 15 N
6 16 N
6 17 H
6 18 T
6 19 B
6 20 T
6 21 H
6 22 T
6 23 T
6 24 B
6 25 N
6 26 N
6 27 N
6 28 B
6 29 H
6 30 H
6 31 T
6 32 N
6 33 T
6 34 B
6 35 T
6 36 B
6 37 N
6 38 H
6 39 N
6 40 N
6 41 N
6 42 N
6 43 N
6 44 N
6 45 N
6 46 T
6 47 B
6 48 H
6 49 H
6 50 T
7 1 T
7 2 B
7 3 T
7 4 B
7 5 N
7 6 N
7 7 N
7 8 N
7 9 N
7 10 T
7 11 B
7 12 B
7 13 N
7 14 H
7 15 N
7 16 H
7 17 N
7 18 N
7 19 H
7 20 T
7 21 N
7 22 N
7 23 N
7 24 H
7 25 N
7 26 T
7 27 H
7 28 N
7 29 T
7 30 B
7 31 T
7 32 T
7 33 H
7 34 H
7 35 N
7 36 N
7 37 H
7 38 T
7 39 T
7 40 H
7 41 N
7 42 H
7 43 N
7 44 N
7 45 N
7 46 N
7 47 H
7 48 T
7 49 B
7 50 H
8 1 N
8 2 B
8 3 T
8 4 B
8 5 N
8 6 T
8 7 N
8 8 T
8 9 N
8 10 N
8 11 N
8 12 T
8 13 H
8 14 N
8 15 H
8 16 N
8 17 N
8 18 T
8 19 B
8 20 B
8 21 H
8 22 B
8 23 H
8 24 N
8 25 N
8 26 N
8 27 T
8 28 H
8 29 N
8 30 T
8 31 N
8 32 N
8 33 N
8 34 N
8 35 H
8 36 N
8 37 N
8 38 B
8 39 N
8 40 N
8 41 N
8 42 T
8 43 N
8 44 T
8 45 N
8 46 B
8 47 N
8 48 B
8 49 N
8 50 N
9 1 N
9 2 H
9 3 T
9 4 N
9 5 H
9 6 N
9 7 H
9 8 T
9 9 H
9 10 N
9 11 T
9 12 T
9 13 H
9 14 N
9 15 H
9 16 H
9 17 N
9 18 T
9 19 N
9 20 N
9 21 N
9 22 N
9 23 T
9 24 H
9 25 H
9 26 N
9 27 T
9 28 B
9 29 N
9 30 N
9 31 N
9 32 T
9 33 N
9 34 T
9 35 T
9 36 T
9 37 T
9 38 N
9 39 T
9 40 H
9 41 T
9 42 T
9 43 B
9 44 N
9 45 H
9 46 N
9 47 T
9 48 N
9 49 B
9 50 N
10 1 H
10 2 N
10 3 N
10 4 T
10 5 T
10 6 N
10 7 N
10 8 H
10 9 N
10 10 H
10 11 T
10 12 T
10 13 N
10 14 T
10 15 H
10 16 N
10 17 H
10 18 B
10 19 T
10 20 N
10 21 H
10 22 N
10 23 T
10 24 N
10 25 H
10 26 N
10 27 N
10 28 N
10 29 T
10 30 N
10 31 N
10 32 N
10 33 N
10 34 H
10 35 N
10 36 T
10 37 T
10 38 N
10 39 N
10 40 N
10 41 H
10 42 N
10 43 N
10 44 N
10 45 H
10 46 H
10 47 H
10 48 T
10 49 T
10 50 H
11 1 T
11 2 T
11 3 H
11 4 N
11 5 N
11 6 N
11 7 H
11 8 N
11 9 H
11 10 N
11 11 N
11 12 N
11 13 H
11 14 N
11 15 H
11 16 N
11 17 N
11 18 H
11 19 N
11 20 N
11 21 N
11 22 N
11 23 T
11 24 T
11 25 N
11 26 T
11 27 H
11 28 B
11 29 N
11 30 N
11 31 N
11 32 B
11 33 T
11 34 T
11 35 B
11 36 N
11 37 H
11 38 T
11 39 N
11 40 H
11 41 H
11 42 N
11 43 T
11 44 N
11 45 N
11 46 N
11 47 N
11 48 N
11 49 N
11 50 H
12 1 N
12 2 T
12 3 B
12 4 N
12 5 H
12 6 N
12 7 N
12 8 T
12 9 N
12 10 N
12 11 N
12 12 N
12 13 N
12 14 H
12 15 N
12 16 N
12 17 N
12 18 B
12 19 N
12 20 N
12 21 T
12 22 T
12 23 N
12 24 H
12 25 N
12 26 N
12 27 N
12 28 N
12 29 N
12 30 B
12 31 N
12 32 T
12 33 N
12 34 T
12 35 N
12 36 N
12 37 H
12 38 N
12 39 T
12 40 T
12 41 B
12 42 N
12 43 N
12 44 N
12 45 N
12 46 N
12 47 H
12 48 N
12 49 B
12 50 T
13 1 H
13 2 N
13 3 H
13 4 N
13 5 T
13 6 H
13 7 H
13 8 N
13 9 N
13 10 H
13 11 N
13 12 H
13 13 N
13 14 N
13 15 T
13 16 T
13 17 T
13 18 H
13 19 N
13 20 N
13 21 T
13 22 N
13 23 N
13 24 N
13 25 N
13 26 N
13 27 H
13 28 H
13 29 T
13 30 N
13 31 H
13 32 B
13 33 H
13 34 H
13 35 N
13 36 N
13 37 N
13 38 N
13 39 N
13 40 N
13 41 N
13 42 N
13 43 N
13 44 H
13 45 T
13 46 H
13 47 T
13 48 H
13 49 N
13 50 N
14 1 H
14 2 T
14 3 N
14 4 N
14 5 T
14 6 N
14 7 N
14 8 H
14 9 N
14 10 T
14 11 B
14 12 N
14 13 N
14 14 H
14 15 N
14 16 T
14 17 T
14 18 T
14 19 N
14 20 N
14 21 T
14 22 T
14 23 T
14 24 N
14 25 N
14 26 N
14 27 N
14 28 B
14 29 N
14 30 N
14 31 T
14 32 H
14 33 N
14 34 B
14 35 B
14 36 N
14 37 N
14 38 T
14 39 H
14 40 N
14 41 N
14 42 B
14 43 N
14 44 T
14 45 H
14 46 N
14 47 T
14 48 T
14 49 N
14 50 N
15 1 N
15 2 B
15 3 N
15 4 T
15 5 T
15 6 H
15 7 N
15 8 H
15 9 B
15 10 N
15 11 B
15 12 N
15 13 N
15 14 N
15 15 N
15 16 T
15 17 N
15 18 T
15 19 H
15 20 T
15 21 N
15 22 H
15 23 B
15 24 N
15 25 H
15 26 H
15 27 H
15 28 N
15 29 T
15 30 N
15 31 N
15 32 H
15 33 N
15 34 B
15 35 B
15 36 H
15 37 H
15 38 T
15 39 T
15 40 N
15 41 H
15 42 N
15 43 N
15 44 H
15 45 N
15 46 H
15 47 N
15 48 H
15 49 N
15 50 N
16 1 H
16 2 N
16 3 N
16 4 N
16 5 N
16 6 H
16 7 N
16 8 N
16 9 B
16 10 T
16 11 T
16 12 N
16 13 H
16 14 H
16 15 N
16 16 T
16 17 N
16 18 T
16 19 N
16 20 H
16 21 B
16 22 T
16 23 N
16 24 N
16 25 T
16 26 N
16 27 T
16 28 N
16 29 N
16 30 B
16 31 N
16 32 N
16 33 N
16 34 N
16 35 N
16 36 N
16 37 N
16 38 N
16 39 H
16 40 N
16 41 N
16 42 H
16 43 H
16 44 N
16 45 T
16 46 T
16 47 N
16 48 H
16 49 N
16 50 B
17 1 H
17 2 N
17 3 N
17 4 N
17 5 N
17 6 N
17 7 N
17 8 T
17 9 T
17 10 H
17 11 T
17 12 B
17 13 N
17 14 N
17 15 B
17 16 H
17 17 T
17 18 H
17 19 T
17 20 H
17 21 T
17 22 T
17 23 B
17 24 N
17 25 N
17 26 N
17 27 H
17 28 N
17 29 T
17 30 B
17 31 N
17 32 N
17 33 T
17 34 N
17 35 H
17 36 B
17 37 N
17 38 N
17 39 H
17 40 T
17 41 N
17 42 N
17 43 T
17 44 T
17 45 N
17 46 N
17 47 T
17 48 H
17 49 T
17 50 H
18 1 N
18 2 H
18 3 T
18 4 N
18 5 H
18 6 B
18 7 N
18 8 H
18 9 T
18 10 N
18 11 N
18 12 T
18 13 T
18 14 N
18 15 N
