100 50
1 1 H
1 2 B
1 3 N
1 4 N
1 5 H
1 6 N
1 7 H
1 8 N
1 9 N
1 10 B
1 11 N
1 12 N
1 13 T
1 14 B
1 15 N
1 16 T
1 17 T
1 18 B
1 19 N
1 20 N
1 21 N
1 22 N
1 23 N
1 24 N
1 25 N
1 26 N
1 27 N
1 28 H
1 29 T
1 30 T
1 31 T
1 32 N
1 33 N
1 34 N
1 35 N
1 36 T
1 37 B
1 38 B
1 39 N
1 40 N
1 41 N
1 42 N
1 43 H
1 44 N
1 45 T
1 46 N
1 47 T
1 48 T
1 49 T
1 50 T
2 1 N
2 2 N
2 3 N
2 4 T
2 5 N
2 6 N
2 7 H
2 8 T
2 9 B
2 10 B
2 11 H
2 12 N
2 13 N
2 14 T
2 15 T
2 16 N
2 17 H
2 18 N
2 19 N
2 20 T
2 21 H
2 22 B
2 23 B
2 24 H
2 25 H
2 26 B
2 27 N
2 28 N
2 29 H
2 30 B
2 31 H
2 32 N
2 33 N
2 34 N
2 35 N
2 36 H
2 37 N
2 38 N
2 39 N
2 40 T
2 41 H
2 42 H
2 43 H
2 44 T
2 45 H
2 46 N
2 47 N
2 48 T
2 49 H
2 50 N
3 1 N
3 2 N
3 3 T
3 4 B
3 5 T
3 6 N
3 7 H
3 8 B
3 9 N
3 10 B
3 11 H
3 12 H
3 13 T
3 14 H
3 15 N
3 16 T
3 17 H
3 18 N
3 19 T
3 20 T
3 21 T
3 22 H
3 23 H
3 24 N
3 25 T
3 26 N
3 27 N
3 28 N
3 29 N
3 30 N
3 31 H
3 32 T
3 33 N
3 34 N
3 35 H
3 36 H
3 37 N
3 38 T
3 39 B
3 40 N
3 41 T
3 42 N
3 43 N
3 44 N
3 45 N
3 46 B
3 47 T
3 48 N
3 49 H
3 50 T
4 1 N
4 2 B
4 3 N
4 4 T
4 5 N
4 6 N
4 7 H
4 8 N
4 9 T
4 10 N
4 11 H
4 12 T
4 13 H
4 14 N
4 15 N
4 16 T
4 17 N
4 18 T
4 19 H
4 20 N
4 21 B
4 22 H
4 23 H
4 24 B
4 25 N
4 26 H
4 27 N
4 28 T
4 29 N
4 30 N
4 31 T
4 32 T
4 33 N
4 34 N
4 35 N
4 36 N
4 37 B
4 38 H
4 39 N
4 40 T
4 41 N
4 42 T
4 43 N
4 44 T
4 45 N
4 46 T
4 47 T
4 48 N
4 49 N
4 50 N
5 1 N
5 2 B
5 3 N
5 4 H
5 5 N
5 6 N
5 7 H
5 8 N
5 9 N
5 10 N
5 11 T
5 12 N
5 13 N
5 14 N
5 15 N
5 16 N
5 17 T
5 18 N
5 19 T
5 20 N
5 21 H
5 22 B
5 23 T
5 24 N
5 25 T
5 26 T
5 27 N
5 28 N
5 29 T
5 30 B
5 31 H
5 32 N
5 33 B
5 34 T
5 35 N
5 36 B
5 37 H
5 38 H
5 39 N
5 40 N
5 41 N
5 42 N
5 43 T
5 44 T
5 45 T
5 46 T
5 47 N
5 48 T
5 49 H
5 50 B
6 1 H
6 2 N
6 3 T
6 4 N
6 5 H
6 6 T
6 7 T
6 8 T
6 9 N
6 10 N
6 11 B
6 12 T
6 13 H
6 14 N
6 15 N
6 16 H
6 17 N
6 18 N
6 19 N
6 20 N
6 21 T
6 22 N
6 23 N
6 24 N
6 25 N
6 26 B
6 27 N
6 28 H
6 29 N
6 30 H
6 31 H
6 32 N
6 33 B
6 34 N
6 35 N
6 36 N
6 37 T
6 38 N
6 39 T
6 40 H
6 41 N
6 42 N
6 43 B
6 44 H
6 45 B
6 46 N
6 47 B
6 48 T
6 49 H
6 50 B
7 1 N
7 2 T
7 3 N
7 4 T
7 5 N
7 6 B
7 7 N
7 8 T
7 9 H
7 10 T
7 11 T
7 12 B
7 13 B
7 14 N
7 15 N
7 16 N
7 17 T
7 18 N
7 19 T
7 20 H
7 21 H
7 22 N
7 23 H
7 24 H
7 25 N
7 26 N
7 27 T
7 28 N
7 29 H
7 30 H
7 31 N
7 32 H
7 33 N
7 34 T
7 35 N
7 36 N
7 37 H
7 38 N
7 39 N
7 40 T
7 41 N
7 42 N
7 43 N
7 44 T
7 45 N
7 46 H
7 47 B
7 48 N
7 49 N
7 50 H
8 1 B
8 2 N
8 3 N
8 4 B
8 5 N
8 6 N
8 7 N
8 8 H
8 9 T
8 10 N
8 11 N
8 12 N
8 13 N
8 14 N
8 15 T
8 16 N
8 17 N
8 18 T
8 19 H
8 20 N
8 21 N
8 22 N
8 23 N
8 24 T
8 25 N
8 26 T
8 27 N
8 28 N
8 29 T
8 30 N
8 31 N
8 32 T
8 33 H
8 34 B
8 35 H
8 36 N
8 37 N
8 38 H
8 39 T
8 40 N
8 41 T
8 42 N
8 43 B
8 44 T
8 45 N
8 46 B
8 47 N
8 48 N
8 49 N
8 50 H
9 1 T
9 2 H
9 3 B
9 4 N
9 5 N
9 6 N
9 7 N
9 8 T
9 9 H
9 10 H
9 11 H
9 12 N
9 13 N
9 14 B
9 15 N
9 16 T
9 17 N
9 18 T
9 19 T
9 20 B
9 21 N
9 22 N
9 23 N
9 24 H
9 25 N
9 26 H
9 27 H
9 28 N
9 29 T
9 30 N
9 31 N
9 32 N
9 33 N
9 34 N
9 35 H
9 36 N
9 37 T
9 38 H
9 39 H
9 40 T
9 41 N
9 42 T
9 43 T
9 44 B
9 45 N
9 46 H
9 47 N
9 48 H
9 49 N
9 50 N
10 1 B
10 2 N
10 3 N
10 4 B
10 5 N
10 6 H
10 7 N
10 8 T
10 9 T
10 10 N
10 11 N
10 12 N
10 13 H
10 14 N
10 15 H
10 16 N
10 17 N
10 18 H
10 19 N
10 20 B
10 21 T
10 22 T
10 23 N
10 24 N
10 25 N
10 26 H
10 27 H
10 28 N
10 29 N
10 30 N
10 31 N
10 32 N
10 33 T
10 34 T
10 35 N
10 36 B
10 37 N
10 38 T
10 39 N
10 40 N
10 41 H
10 42 B
10 43 B
10 44 T
10 45 T
10 46 T
10 47 B
10 48 B
10 49 N
10 50 H
11 1 N
11 2 N
11 3 H
11 4 N
11 5 N
11 6 N
11 7 H
11 8 N
11 9 T
11 10 T
11 11 N
11 12 N
11 13 N
11 14 N
11 15 B
11 16 T
11 17 N
11 18 N
11 19 H
11 20 B
11 21 N
11 22 N
11 23 T
11 24 B
11 25 N
11 26 N
11 27 N
