100 50
1 1 N
1 2 B
1 3 B
1 4 N
1 5 N
1 6 N
1 7 N
1 8 N
1 9 H
1 10 H
1 11 H
1 12 N
1 13 H
1 14 N
1 15 H
1 16 H
1 17 B
1 18 N
1 19 N
1 20 T
1 21 H
1 22 N
1 23 T
1 24 H
1 25 N
1 26 T
1 27 H
1 28 N
1 29 H
1 30 T
1 31 T
1 32 N
1 33 H
1 34 N
1 35 H
1 36 H
1 37 N
1 38 N
1 39 N
1 40 H
1 41 H
1 42 T
1 43 T
1 44 H
1 45 N
1 46 N
1 47 H
1 48 N
1 49 H
1 50 T
2 1 T
2 2 T
2 3 B
2 4 T
2 5 T
2 6 H
2 7 T
2 8 N
2 9 N
2 10 T
2 11 B
2 12 T
2 13 H
2 14 T
2 15 N
2 16 T
2 17 N
2 18 B
2 19 T
2 20 T
2 21 N
2 22 T
2 23 N
2 24 N
2 25 N
2 26 B
2 27 H
2 28 N
2 29 N
2 30 B
2 31 H
2 32 H
2 33 N
2 34 T
2 35 N
2 36 N
2 37 T
2 38 B
2 39 T
2 40 B
2 41 N
2 42 N
2 43 B
2 44 N
2 45 H
2 46 N
2 47 H
2 48 N
2 49 N
2 50 H
3 1 B
3 2 N
3 3 H
3 4 N
3 5 H
3 6 T
3 7 B
3 8 N
3 9 T
3 10 B
3 11 B
3 12 N
3 13 B
3 14 H
3 15 T
3 16 T
3 17 H
3 18 N
3 19 N
3 20 H
3 21 H
3 22 N
3 23 N
3 24 N
3 25 B
3 26 H
3 27 N
3 28 N
3 29 N
3 30 H
3 31 N
3 32 N
3 33 T
3 34 N
3 35 N
3 36 T
3 37 T
3 38 N
3 39 B
3 40 N
3 41 T
3 42 N
3 43 H
3 44 H
3 45 B
3 46 N
3 47 H
3 48 N
3 49 T
3 50 B
4 1 T
4 2 H
4 3 T
4 4 T
4 5 N
4 6 H
4 7 H
4 8 H
4 9 H
4 10 N
4 11 N
4 12 N
4 13 N
4 14 N
4 15 T
4 16 H
4 17 H
4 18 N
4 19 T
4 20 H
4 21 N
4 22 N
4 23 H
4 24 T
4 25 H
4 26 N
4 27 N
4 28 H
4 29 B
4 30 T
4 31 N
4 32 N
4 33 T
4 34 T
4 35 B
4 36 B
4 37 N
4 38 H
4 39 N
4 40 N
4 41 B
4 42 H
4 43 B
4 44 H
4 45 T
4 46 N
4 47 N
4 48 N
4 49 N
4 50 B
5 1 N
5 2 N
5 3 T
5 4 N
5 5 H
5 6 T
5 7 N
5 8 N
5 9 N
5 10 N
5 11 T
5 12 H
5 13 N
5 14 N
5 15 N
5 16 N
5 17 T
5 18 B
5 19 N
5 20 N
5 21 N
5 22 N
5 23 H
5 24 N
5 25 T
5 26 N
5 27 T
5 28 T
5 29 T
5 30 N
5 31 N
5 32 N
5 33 N
5 34 N
5 35 N
5 36 N
5 37 T
5 38 N
5 39 T
5 40 N
5 41 N
5 42 N
5 43 T
5 44 H
5 45 N
5 46 T
5 47 N
5 48 N
5 49 H
5 50 N
6 1 T
6 2 N
6 3 N
6 4 T
6 5 N
6 6 H
6 7 N
6 8 N
6 9 N
6 10 N
6 11 T
6 12 N
6 13 H
6 14 N
6 15 N
6 16 T
6 17 B
6 18 N
6 19 T
6 20 N
6 21 H
6 22 T
6 23 N
6 24 H
6 25 N
6 26 N
6 27 N
6 28 B
6 29 N
6 30 N
6 31 N
6 32 H
6 33 N
6 34 H
6 35 B
6 36 N
6 37 H
6 38 N
6 39 N
6 40 N
6 41 N
6 42 T
6 43 H
6 44 B
6 45 N
6 46 B
6 47 B
6 48 T
6 49 T
6 50 N
7 1 H
7 2 N
7 3 B
7 4 B
7 5 T
7 6 N
7 7 N
7 8 N
7 9 N
7 10 T
7 11 T
7 12 N
7 13 H
7 14 T
7 15 H
7 16 H
7 17 B
7 18 N
7 19 H
7 20 N
7 21 T
7 22 N
7 23 N
7 24 N
7 25 H
7 26 H
7 27 N
7 28 N
7 29 N
7 30 N
7 31 N
7 32 N
7 33 H
7 34 T
7 35 T
7 36 T
7 37 N
7 38 N
7 39 N
7 40 T
7 41 H
7 42 T
7 43 N
7 44 N
7 45 T
7 46 N
7 47 N
7 48 T
7 49 N
7 50 N
8 1 T
8 2 H
8 3 H
8 4 T
8 5 T
8 6 H
8 7 N
8 8 B
8 9 H
8 10 N
8 11 T
8 12 N
8 13 T
8 14 T
8 15 N
8 16 N
8 17 H
8 18 H
8 19 H
8 20 N
8 21 N
8 22 H
8 23 B
8 24 N
8 25 T
8 26 T
8 27 H
8 28 N
8 29 N
8 30 T
8 31 B
8 32 T
8 33 T
8 34 T
8 35 H
8 36 N
8 37 N
8 38 T
8 39 H
8 40 N
8 41 B
8 42 H
8 43 H
8 44 N
8 45 N
8 46 H
8 47 N
8 48 H
8 49 H
8 50 T
9 1 T
9 2 N
9 3 N
9 4 N
9 5 N
9 6 T
9 7 N
9 8 N
9 9 H
9 10 N
9 11 T
9 12 N
9 13 N
9 14 B
9 15 N
9 16 T
9 17 H
9 18 H
9 19 T
9 20 H
9 21 N
9 22 T
9 23 N
9 24 N
9 25 T
9 26 B
9 27 H
9 28 N
9 29 B
9 30 B
9 31 N
9 32 N
9 33 N
9 34 B
9 35 N
9 36 N
9 37 H
9 38 N
9 39 N
9 40 N
9 41 N
9 42 N
9 43 T
9 44 B
9 45 B
9 46 N
9 47 N
9 48 N
9 49 T
9 50 T
10 1 N
10 2 T
10 3 N
10 4 T
10 5 T
10 6 N
10 7 N
10 8 B
10 9 N
10 10 T
10 11 H
10 12 T
10 13 N
10 14 T
10 15 N
10 16 N
10 17 N
10 18 N
10 19 B
10 20 B
10 21 T
10 22 N
10 23 T
10 24 N
10 25 T
10 26 N
10 27 H
10 28 N
10 29 N
10 30 T
10 31 N
10 32 H
10 33 T
10 34 N
10 35 N
10 36 B
10 37 N
10 38 N
10 39 T
10 40 N
10 41 N
10 42 N
10 43 T
10 44 N
10 45 N
10 46 T
10 47 T
10 48 N
10 49 H
10 50 T
11 1 T
11 2 N
11 3 N
11 4 T
11 5 T
11 6 T
11 7 T
11 8 B
11 9 N
11 10 H
11 11 N
11 12 T
11 13 T
11 14 N
11 15 N
11 16 T
11 17 H
11 18 N
11 19 N
11 20 B
11 21 N
11 22 T
11 23 N
11 24 N
11 25 N
11 26 H
11 27 N
11 28 N
11 29 T
11 30 N
11 31 N
11 32 N
11 33 T
11 34 B
11 35 T
11 36 N
11 37 B
11 38 N
11 39 H
11 40 N
11 41 B
11 42 N
11 43 N
11 44 T
11 45 B
11 46 N
11 47 T
11 48 H
11 49 B
11 50 T
12 1 N
12 2 N
12 3 T
12 4 N
12 5 T
12 6 N
12 7 N
12 8 N
12 9 T
12 10 H
12 11 N
12 12 N
12 13 N
12 14 N
12 15 N
12 16 T
12 17 N
12 18 N
12 19 B
12 20 B
12 21 N
12 22 B
12 23 N
12 24 N
12 25 N
12 26 N
12 27 B
12 28 N
12 29 N
12 30 T
12 31 H
12 32 T
12 33 T
12 34 H
12 35 T
12 36 N
12 37 N
12 38 N
12 39 N
12 40 N
12 41 N
12 42 H
12 43 H
12 44 N
12 45 N
12 46 B
12 47 T
12 48 N
12 49 N
12 50 H
13 1 H
13 2 N
13 3 N
13 4 T
13 5 N
13 6 H
13 7 N
13 8 N
13 9 B
13 10 T
13 11 B
13 12 H
13 13 N
13 14 H
13 15 N
13 16 T
13 17 T
13 18 H
13 19 T
13 20 N
13 21 T
13 22 T
13 23 N
13 24 N
13 25 N
13 26 N
13 27 H
13 28 N
13 29 H
13 30 B
13 31 N
13 32 N
13 33 H
13 34 N
13 35 N
13 36 N
13 37 T
13 38 N
13 39 H
13 40 N
13 41 N
13 42 T
13 43 N
13 44 N
13 45 N
13 46 N
13 47 B
13 48 N
13 49 N
13 50 H
14 1 H
14 2 H
14 3 B
14 4 N
14 5 N
14 6 H
14 7 T
14 8 T
14 9 B
14 10 H
14 11 N
14 12 N
14 13 N
14 14 T
14 15 N
14 16 H
14 17 N
14 18 N
14 19 N
14 20 N
14 21 B
14 22 N
14 23 B
14 24 N
14 25 N
14 26 N
14 27 H
14 28 N
14 29 T
14 30 N
14 31 N
14 32 N
14 33 N
14 34 N
14 35 T
14 36 N
14 37 N
14 38 N
14 39 T
14 40 N
14 41 N
14 42 H
14 43 H
14 44 H
14 45 T
14 46 B
14 47 B
14 48 H
14 49 N
14 50 H
15 1 N
15 2 N
15 3 H
15 4 N
15 5 N
15 6 N
15 7 N
15 8 B
15 9 T
15 10 T
15 11 T
15 12 N
15 13 H
15 14 H
15 15 N
15 16 N
15 17 H
15 18 N
15 19 H
15 20 B
15 21 H
15 22 N
15 23 B
15 24 N
15 25 N
15 26 T
15 27 H
15 28 B
15 29 T
15 30 T
15 31 N
15 32 H
15 33 B
15 34 N
15 35 N
15 36 N
15 37 B
15 38 H
15 39 H
15 40 N
15 41 H
15 42 N
15 43 B
15 44 N
15 45 T
15 46 N
15 47 H
15 48 T
15 49 N
15 50 N
16 1 N
16 2 H
16 3 N
16 4 T
16 5 N
16 6 T
16 7 N
16 8 B
16 9 N
16 10 H
16 11 N
16 12 H
16 13 H
16 14 H
16 15 N
16 16 T
16 17 H
16 18 N
16 19 B
16 20 N
16 21 N
16 22 N
16 23 N
16 24 B
16 25 H
16 26 N
16 27 B
16 28 T
16 29 N
16 30 N
16 31 T
16 32 N
16 33 H
16 34 B
16 35 N
16 36 N
16 37 T
16 38 H
16 39 N
16 40 H
16 41 H
16 42 N
16 43 N
16 44 H
16 45 N
16 46 T
16 47 N
16 48 N
16 49 H
16 50 H
17 1 H
17 2 N
17 3 N
17 4 H
17 5 N
17 6 B
17 7 N
17 8 N
17 9 N
17 10 N
17 11 B
17 12 B
17 13 B
17 14 T
17 15 N
17 16 N
17 17 T
17 18 T
17 19 N
17 20 N
17 21 H
17 22 N
17 23 B
17 24 N
17 25 N
17 26 N
17 27 N
17 28 N
17 29 N
17 30 N
17 31 N
17 32 T
17 33 N
17 34 N
17 35 N
17 36 N
17 37 N
17 38 B
17 39 T
17 40 N
17 41 T
17 42 N
17 43 H
17 44 T
